medicare_provider_number,is_hospital_a_critical_access_hospital_y_n,hospital_compare_star_rating_october_na_not_available,number_of_outpatient_services,total_private_allowed_amount_for_outpatient_services_millions,simulated_medicare_allowed_amount_for_outpatient_services_millions,relative_price_for_outpatient_services,standardized_price_per_outpatient_service,number_of_inpatient_stays,total_private_allowed_amount_for_inpatient_services_millions,simulated_medicare_allowed_amount_for_inpatient_services_millions,relative_price_for_inpatient_services,standardized_price_per_inpatient_stay,total_private_allowed_amount_for_inpatient_and_outpatient_services_millions,simulated_medicare_allowed_amount_for_inpatient_and_outpatient_services_millions,relative_price_for_professional_inpatient_and_outpatient_services,relative_price_for_inpatient_facility_services,relative_price_for_outpatient_facility_services,relative_price_for_inpatient_and_outpatient_services,total_private_allowed_amount_for_facility_inpatient_and_outpatient_services_millions,simulated_medicare_allowed_amount_for_facility_inpatient_and_outpatient_services_millions,total_private_allowed_amount_for_professional_inpatient_and_outpatient_services_millions,simulated_medicare_allowed_amount_for_professional_inpatient_and_outpatient_services_millions
050590,N,3,484,2.33,0.66,3.52,443.28,152,4.14,2.39,1.73,18852,6.47,3.05,1.37,1.825248087,3.8915175244,2.12,5.92,2.64,0.55,0.4
050597,N,2,330,0.51,0.31,1.63,191.48,42,0.91,0.37,2.47,21032,1.42,0.68,1.52,2.596104385,1.6239344975,2.09,1.28,0.59,0.14,0.09
050599,N,3,6820,23.99,6.81,3.52,464.85,473,25.44,10.08,2.52,40267,49.42,16.89,2.56,2.5719641978,3.6462799285,2.93,44.58,14.99,4.85,1.89
050603,N,4,410,0.85,0.31,2.73,336.31,78,2.16,0.85,2.53,24069,3,1.16,0.9,3.0552507287,3.3080718259,2.58,2.75,0.88,0.25,0.28
050604,N,4,27,0.07,0.02,4.2,712.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4439553967,NA,NA,NA,NA,NA
050608,N,2,805,1.62,0.59,2.77,306.43,20,0.42,0.21,1.97,18544,2.05,0.8,2.15,2.0668877045,2.8895301076,2.56,1.74,0.66,0.31,0.14
050609,N,4,37,0.13,0.05,2.72,749.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7461278606,NA,NA,NA,NA,NA
050616,N,2,537,1.73,0.46,3.75,450.47,28,0.6,0.24,2.49,19956,2.32,0.7,1.45,2.6276962083,4.4081087378,3.32,2.14,0.57,0.19,0.13
050624,N,2,1297,4.11,2.31,1.77,204.92,189,5.34,1.93,2.76,27861,9.45,4.25,1.11,3.0185093134,1.9676927461,2.22,8.57,3.45,0.88,0.79
050625,N,5,5702,30.26,7.28,4.16,475.51,776,44.34,14.26,3.11,37340,74.61,21.54,1.36,3.3724562106,4.799786026,3.46,70.33,18.4,4.28,3.15
050633,N,2,2070,5.84,2.32,2.52,279.2,207,5.56,1.97,2.82,24879,11.4,4.29,1.19,3.0504580521,2.855155754,2.66,10.55,3.58,0.85,0.71
050636,N,4,666,2.13,0.68,3.12,389.35,134,1.65,1.03,1.6,16974,3.78,1.72,1.04,1.8969627627,3.8577478459,2.2,3.29,1.24,0.49,0.48
050660,N,NA,NA,NA,NA,NA,NA,27,1.7,0.75,2.28,35799,NA,NA,NA,2.3051625314,NA,NA,NA,NA,NA,NA
050674,N,3,51,0.47,0.21,2.23,871.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1945963837,NA,NA,NA,NA,NA
050677,N,3,19,0.08,0.03,2.8,697.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7874693511,NA,NA,NA,NA,NA
050678,N,3,440,0.86,0.42,2.03,231.43,45,1.04,0.55,1.89,18276,1.9,0.97,0.98,2.1687969088,2.251963193,1.95,1.7,0.77,0.2,0.2
050684,N,2,21,0.05,0.02,1.99,217.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9335878431,NA,NA,NA,NA,NA
050686,N,3,12,0.03,0.01,5.85,712.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.19082797,NA,NA,NA,NA,NA
050689,N,3,665,2.27,1,2.28,303.14,72,2.01,1.01,1.99,22873,4.28,2.01,1.25,2.1522928573,2.4745240045,2.13,3.85,1.67,0.43,0.34
050696,N,4,2280,6.32,2.86,2.21,275.04,209,19.31,5.54,3.49,50710,25.62,8.4,2.13,3.5788170843,2.269606302,3.05,23.54,7.43,2.08,0.98
050697,N,NA,108,0.35,0.48,0.73,85.84,14,0.19,0.19,0.99,9898,0.54,0.67,1.13,1.0082959031,0.6192925784,0.8,0.39,0.54,0.14,0.13
050701,N,2,623,2.08,0.86,2.42,270.53,90,1.97,1.04,1.89,22293,4.05,1.9,1.56,2.0578066077,2.5125925426,2.13,3.52,1.56,0.53,0.34
050708,N,NA,743,4.69,4.15,1.13,127.32,34,0.75,0.64,1.16,10831,5.44,4.79,0.83,1.3486145459,1.207772952,1.14,4.52,3.69,0.92,1.1
050709,N,3,61,0.17,0.1,1.66,181.63,14,0.31,0.17,1.84,16051,0.48,0.27,1.67,1.8167955941,1.742315587,1.77,0.41,0.23,0.07,0.04
050710,N,3,32,0.2,0.08,2.46,685.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4534443694,NA,NA,NA,NA,NA
050723,N,4,12,0.02,0.01,3.78,755.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8774110809,NA,NA,NA,NA,NA
050724,N,2,973,6.53,2.74,2.39,243.2,159,5.22,1.72,3.04,25578,11.75,4.45,1.61,3.1914735147,2.5133032759,2.64,10.86,3.9,0.89,0.56
050726,N,5,328,1.07,0.88,1.21,135.45,20,0.46,0.3,1.53,13603,1.53,1.18,1.18,1.634773657,1.2107683894,1.29,1.26,0.95,0.27,0.23
050735,N,3,74,0.15,0.06,2.4,267.95,11,0.1,0.1,1,9731,0.25,0.16,2.25,0.9496685972,2.4189924642,1.54,0.21,0.14,0.04,0.02
050736,N,2,38,0.07,0.04,1.73,181.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6029847027,NA,NA,NA,NA,NA
050737,N,4,32,0.08,0.04,2.24,257.56,13,0.28,0.14,2.02,20346,0.36,0.17,1.46,2.1274139249,2.2967665683,2.07,0.33,0.15,0.03,0.02
050739,N,4,43,0.09,0.04,2.28,254.09,14,0.28,0.15,1.79,15906,0.37,0.19,1.85,1.8413595203,2.1480753525,1.89,0.32,0.17,0.04,0.02
050740,N,3,432,0.91,0.49,1.86,213.42,56,1.44,0.86,1.68,16219,2.35,1.35,1.01,1.8920807217,2.0617589345,1.74,2.05,1.05,0.3,0.3
050742,N,2,55,0.15,0.08,1.94,233.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2839116513,NA,NA,NA,NA,NA
050744,N,2,80,0.2,0.06,3.17,381.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4261057414,NA,NA,NA,NA,NA
050745,N,2,52,0.1,0.03,3.14,362.87,41,0.6,0.61,0.98,10523,0.7,0.64,0.58,1.1830372526,3.2199792097,1.09,0.59,0.46,0.11,0.18
050746,N,2,57,0.33,0.1,3.46,383.6,19,0.66,0.21,3.11,32990,0.99,0.31,1.7,3.2474713291,3.9262742671,3.22,0.92,0.27,0.07,0.04
050747,N,2,18,0.03,0.01,2.44,279.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6606070983,NA,NA,NA,NA,NA
050748,N,3,24,0.06,0.01,6.51,750.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2117691056,NA,NA,NA,NA,NA
050755,N,3,73,0.14,0.06,2.5,288.3,14,0.26,0.13,2.03,17223,0.4,0.19,1.91,2.1184381449,2.4744970474,2.17,0.35,0.16,0.05,0.03
050757,N,5,103,0.31,0.18,1.73,201.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8487700457,NA,NA,NA,NA,NA
050758,N,2,18,0.08,0.01,6.95,855.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5229118944,NA,NA,NA,NA,NA
050761,N,4,664,1.38,0.78,1.76,197.11,103,2.41,0.98,2.46,24025,3.79,1.76,1.21,2.7910147231,1.8398788522,2.15,3.37,1.42,0.42,0.35
050764,N,4,720,2.47,1.17,2.11,245.5,109,2.69,1.29,2.09,18343,5.16,2.46,1.55,2.1603283279,2.2175262472,2.1,4.65,2.13,0.51,0.33
050765,N,2,17,0.04,0.01,5.25,627.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2791479414,NA,NA,NA,NA,NA
050766,N,NA,127,1.56,0.68,2.29,275.12,22,0.58,0.31,1.88,16641,2.14,0.99,2,1.9410392014,2.3361569595,2.16,1.68,0.76,0.47,0.23
050769,N,NA,NA,NA,NA,NA,NA,92,3.01,1.81,1.66,15574,NA,NA,NA,1.9912991801,NA,NA,NA,NA,NA,NA
050770,N,3,624,1.95,0.81,2.42,259.02,73,1.23,0.63,1.96,16419,3.17,1.43,1.65,2.0723144974,2.5533181406,2.22,2.78,1.19,0.4,0.24
050771,N,2,15,0.03,0.02,1.89,208.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7417247537,NA,NA,NA,NA,NA
050772,N,3,17,0.08,0.01,6.4,811.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3227761187,NA,NA,NA,NA,NA
050773,N,2,22,0.11,0.02,6.89,1007.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5102457598,NA,NA,NA,NA,NA
050775,N,5,529,1.74,0.74,2.35,255.94,71,1.29,0.66,1.97,16547,3.04,1.4,2.01,2.0214396513,2.3755305301,2.17,2.62,1.19,0.42,0.21
050777,N,3,11,0.06,0.01,4.27,667.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.0966148685,NA,NA,NA,NA,NA
051302,Y,NA,11,0.01,0,1.57,295.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6268817599,NA,NA,NA,NA,NA
051303,Y,NA,440,0.57,0.36,1.59,344.3,13,0.36,0.31,1.13,19504,0.93,0.67,0.93,1.1436022811,1.7314831964,1.38,0.86,0.6,0.07,0.08
051304,Y,NA,328,0.63,0.28,2.24,331.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2066686591,NA,NA,NA,NA,NA
051305,Y,NA,247,0.46,0.24,1.88,400.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9322321332,NA,NA,NA,NA,NA
