medicare_provider_number,is_hospital_a_critical_access_hospital_y_n,hospital_compare_star_rating_october_na_not_available,number_of_outpatient_services,total_private_allowed_amount_for_outpatient_services_millions,simulated_medicare_allowed_amount_for_outpatient_services_millions,relative_price_for_outpatient_services,standardized_price_per_outpatient_service,number_of_inpatient_stays,total_private_allowed_amount_for_inpatient_services_millions,simulated_medicare_allowed_amount_for_inpatient_services_millions,relative_price_for_inpatient_services,standardized_price_per_inpatient_stay,total_private_allowed_amount_for_inpatient_and_outpatient_services_millions,simulated_medicare_allowed_amount_for_inpatient_and_outpatient_services_millions,relative_price_for_professional_inpatient_and_outpatient_services,relative_price_for_inpatient_facility_services,relative_price_for_outpatient_facility_services,relative_price_for_inpatient_and_outpatient_services,total_private_allowed_amount_for_facility_inpatient_and_outpatient_services_millions,simulated_medicare_allowed_amount_for_facility_inpatient_and_outpatient_services_millions,total_private_allowed_amount_for_professional_inpatient_and_outpatient_services_millions,simulated_medicare_allowed_amount_for_professional_inpatient_and_outpatient_services_millions
050517,N,1,54,0.16,0.16,1.04,108.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9834747376,NA,NA,NA,NA,NA
050523,N,2,106,0.36,0.09,3.87,510.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2444595901,NA,NA,NA,NA,NA
050526,N,2,60,0.11,0.04,2.76,313.48,14,0.2,0.1,1.91,17475,0.3,0.14,2.95,1.883266471,2.6074395994,2.14,0.26,0.13,0.04,0.01
050528,N,4,561,2.14,0.43,4.94,596.64,15,0.58,0.32,1.81,38661,2.72,0.75,1.63,1.9018816901,5.8400913982,3.61,2.5,0.62,0.22,0.13
050534,N,2,218,0.67,0.24,2.79,317.23,22,0.39,0.19,2.09,20347,1.05,0.42,1.99,2.1859112439,2.9491371525,2.49,0.91,0.35,0.15,0.07
050537,N,4,646,3.06,0.78,3.92,506.73,75,1.65,0.72,2.28,25923,4.71,1.51,2.6,2.1982830119,4.3093908907,3.13,3.99,1.23,0.72,0.28
050549,N,2,1156,6.41,2.16,2.97,353.82,268,9.59,4.16,2.31,26778,16,6.32,0.99,2.7821554273,3.4724612367,2.53,14.52,4.81,1.48,1.5
050551,N,3,759,1.29,0.58,2.22,246.61,81,2.42,0.99,2.43,23602,3.71,1.58,1.62,2.5530102504,2.3217139406,2.35,3.34,1.35,0.36,0.22
050557,N,3,230,4.13,0.71,5.8,593.76,55,2.98,0.53,5.6,58590,7.11,1.24,3.1,5.989543026,6.2695700735,5.72,6.56,1.07,0.54,0.17
050561,N,2,18,0.07,0.02,2.91,663.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0031720248,NA,NA,NA,NA,NA
050567,N,2,1019,3.17,1.09,2.9,331.88,110,2.43,1.26,1.93,18271,5.6,2.35,1.33,2.0650094084,3.3333544633,2.38,5.03,1.92,0.57,0.43
050568,N,1,447,0.56,0.32,1.73,196.62,27,0.27,0.3,0.9,9830,0.83,0.63,1.57,0.8954834257,1.7113649221,1.33,0.68,0.52,0.16,0.1
050570,N,3,106,0.41,0.17,2.38,261.6,39,1.52,0.63,2.39,32400,1.93,0.81,0.67,3.1250195777,2.6035786832,2.39,1.79,0.6,0.14,0.21
050573,N,5,1945,3.9,2.03,1.93,217.46,137,3.27,1.75,1.87,17737,7.17,3.77,1.08,2.0034808688,2.1254264445,1.9,6.49,3.14,0.69,0.63
050580,N,3,51,0.11,0.05,2.18,247.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2054164704,NA,NA,NA,NA,NA
050581,N,2,150,0.43,0.18,2.42,266.02,14,0.31,0.14,2.25,19117,0.74,0.31,2,2.3735768182,2.4448565738,2.34,0.64,0.26,0.1,0.05
050586,N,5,97,0.48,0.07,6.53,761.38,25,0.95,0.22,4.38,41519,1.43,0.29,2.51,4.53141999,7.6810866877,4.92,1.35,0.26,0.07,0.03
050588,N,3,133,0.3,0.2,1.51,164.21,17,0.25,0.12,2.11,18095,0.55,0.32,1.68,2.181218395,1.4499036914,1.73,0.47,0.27,0.09,0.05
050589,N,3,730,1.48,0.87,1.71,187.41,22,0.36,0.17,2.15,17245,1.84,1.03,1.26,2.2364828991,1.8281711721,1.78,1.59,0.84,0.25,0.2
